"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 00:13:22 GMT 2023","Thu Mar 09 00:13:22 GMT 2023","6","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Thu Mar 09 00:13:22 GMT 2023","Thu Mar 09 00:13:22 GMT 2023","13","","Labels","","Create new label via api","","Create new label via api",""
"passed","Thu Mar 09 00:13:24 GMT 2023","Thu Mar 09 00:13:24 GMT 2023","1","","Milestones","","YYYYY","","YYYYY",""
"failed","Thu Mar 09 00:13:22 GMT 2023","Thu Mar 09 00:13:24 GMT 2023","2019","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Thu Mar 09 00:13:24 GMT 2023","Thu Mar 09 00:13:24 GMT 2023","3","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Thu Mar 09 00:13:24 GMT 2023","Thu Mar 09 00:13:24 GMT 2023","3","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"broken","Thu Mar 09 00:13:22 GMT 2023","Thu Mar 09 00:13:22 GMT 2023","16","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"broken","Thu Mar 09 00:13:22 GMT 2023","Thu Mar 09 00:13:22 GMT 2023","17","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Thu Mar 09 00:13:24 GMT 2023","Thu Mar 09 00:13:24 GMT 2023","4","","Milestones","","YYYYYCCCC","","YYYYYCCCC",""
