"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 06:17:16 GMT 2023","Tue Mar 07 06:17:16 GMT 2023","1","","Milestones","","YYYYY","","YYYYY",""
"broken","Tue Mar 07 06:17:16 GMT 2023","Tue Mar 07 06:17:16 GMT 2023","17","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Tue Mar 07 06:17:16 GMT 2023","Tue Mar 07 06:17:16 GMT 2023","5","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Tue Mar 07 06:17:15 GMT 2023","Tue Mar 07 06:17:15 GMT 2023","13","","Labels","","Create new label via api","","Create new label via api",""
"passed","Tue Mar 07 06:17:16 GMT 2023","Tue Mar 07 06:17:16 GMT 2023","7","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Tue Mar 07 06:17:15 GMT 2023","Tue Mar 07 06:17:16 GMT 2023","1005","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Tue Mar 07 06:17:15 GMT 2023","Tue Mar 07 06:17:15 GMT 2023","4","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Tue Mar 07 06:17:15 GMT 2023","Tue Mar 07 06:17:15 GMT 2023","5","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Tue Mar 07 06:17:16 GMT 2023","Tue Mar 07 06:17:16 GMT 2023","1","","Milestones","","YYYYYCCCC","","YYYYYCCCC",""
