"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 03:48:29 GMT 2023","Thu Mar 09 03:48:29 GMT 2023","4","","Milestones","","YYYYY","","YYYYY",""
"broken","Thu Mar 09 03:48:28 GMT 2023","Thu Mar 09 03:48:28 GMT 2023","10","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Thu Mar 09 03:48:29 GMT 2023","Thu Mar 09 03:48:29 GMT 2023","2","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Thu Mar 09 03:48:28 GMT 2023","Thu Mar 09 03:48:28 GMT 2023","11","","Labels","","Create new label via api","","Create new label via api",""
"passed","Thu Mar 09 03:48:28 GMT 2023","Thu Mar 09 03:48:28 GMT 2023","4","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Thu Mar 09 03:48:29 GMT 2023","Thu Mar 09 03:48:29 GMT 2023","2","","Milestones","","YYYYYCCCC","","YYYYYCCCC",""
"failed","Thu Mar 09 03:48:28 GMT 2023","Thu Mar 09 03:48:29 GMT 2023","1007","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Thu Mar 09 03:48:28 GMT 2023","Thu Mar 09 03:48:28 GMT 2023","2","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Thu Mar 09 03:48:29 GMT 2023","Thu Mar 09 03:48:29 GMT 2023","7","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
