"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 02:36:59 GMT 2023","Thu Mar 09 02:36:59 GMT 2023","0","","Milestones","","YYYYYCCCC","","YYYYYCCCC",""
"passed","Thu Mar 09 02:36:57 GMT 2023","Thu Mar 09 02:36:57 GMT 2023","7","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Thu Mar 09 02:36:59 GMT 2023","Thu Mar 09 02:36:59 GMT 2023","5","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Thu Mar 09 02:36:59 GMT 2023","Thu Mar 09 02:36:59 GMT 2023","5","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Thu Mar 09 02:36:57 GMT 2023","Thu Mar 09 02:36:57 GMT 2023","10","","Labels","","Create new label via api","","Create new label via api",""
"broken","Thu Mar 09 02:36:57 GMT 2023","Thu Mar 09 02:36:58 GMT 2023","15","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"failed","Thu Mar 09 02:36:58 GMT 2023","Thu Mar 09 02:36:59 GMT 2023","1018","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Thu Mar 09 02:36:59 GMT 2023","Thu Mar 09 02:36:59 GMT 2023","0","","Milestones","","YYYYY","","YYYYY",""
"passed","Thu Mar 09 02:36:57 GMT 2023","Thu Mar 09 02:36:57 GMT 2023","3","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
