"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 09 08:34:26 GMT 2023","Thu Mar 09 08:34:26 GMT 2023","4","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Tue Mar 07 04:40:32 GMT 2023","Tue Mar 07 04:40:32 GMT 2023","16","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Thu Mar 09 08:34:26 GMT 2023","Thu Mar 09 08:34:26 GMT 2023","6","","Labels","","Delete existing label via api","","Delete existing label via api",""
"broken","Thu Mar 09 08:34:26 GMT 2023","Thu Mar 09 08:34:26 GMT 2023","3","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Thu Mar 09 08:34:26 GMT 2023","Thu Mar 09 08:34:26 GMT 2023","13","","Labels","","Create new label via api","","Create new label via api",""
"broken","Thu Mar 09 08:34:26 GMT 2023","Thu Mar 09 08:34:26 GMT 2023","10","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Tue Mar 07 04:40:32 GMT 2023","Tue Mar 07 04:40:32 GMT 2023","0","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
